age,region,activity,heart_rate,steps,calories,step_range,calories_range,sleep_hours,weight_kg,fitness_level
27,East,Cycling,89,9684,433,8k-11k,400-550,6.58,70.1,moderately_fit
23,South,Gym,85,9134,350,8k-11k,250-400,6.27,72.8,moderately_fit
64,South,Cycling,94,4508,209,<5k,<250,5.51,81.4,unfit
32,South,Cycling,71,13753,507,11k-14k,400-550,6.72,75.7,moderately_fit
29,South,Running,110,13594,647,11k-14k,550-700,8.11,82.9,fit
23,South,Gym,79,14024,723,>14k,>700,5.6,68.9,fit
34,East,Sports,90,7048,282,5k-8k,250-400,7.61,71.4,moderately_fit
52,North,Cycling,87,6851,390,5k-8k,250-400,7.19,77.7,moderately_fit
33,South,Running,108,13341,618,11k-14k,550-700,7.19,77.8,fit
60,South,Walking,77,10282,344,8k-11k,250-400,4.42,70.9,moderately_fit
56,South,Walking,65,6128,256,5k-8k,250-400,5.8,76.8,unfit
28,South,Gym,87,7433,377,5k-8k,250-400,8.73,66.7,moderately_fit
56,West,Gym,89,7511,319,5k-8k,250-400,6.26,80.3,moderately_fit
47,East,Sports,94,8797,447,8k-11k,400-550,7.66,69.9,moderately_fit
21,South,Cycling,84,14125,566,>14k,550-700,6.63,78.9,moderately_fit
29,East,Cycling,69,13273,685,11k-14k,550-700,5.85,61.1,fit
44,North,Running,105,17230,907,>14k,>700,6.63,71.4,fit
25,East,Gym,87,5427,248,5k-8k,<250,8.33,59.6,unfit
54,South,Cycling,81,4607,203,<5k,<250,8.35,75.3,unfit
24,North,Cycling,81,10937,622,8k-11k,550-700,5.8,78.0,moderately_fit
61,North,Running,104,13147,557,11k-14k,550-700,6.64,75.7,moderately_fit
19,North,Walking,67,9995,414,8k-11k,400-550,5.24,61.6,moderately_fit
46,North,Running,106,12920,721,11k-14k,>700,6.77,56.1,fit
31,North,Gym,81,11168,640,11k-14k,550-700,7.58,51.2,moderately_fit
27,North,Gym,81,13187,619,11k-14k,550-700,7.2,65.0,fit
25,East,Running,101,11936,543,11k-14k,400-550,8.56,75.2,moderately_fit
28,North,Gym,85,13001,588,11k-14k,550-700,9.42,55.5,moderately_fit
30,South,Sports,106,15703,653,>14k,550-700,7.45,69.8,fit
51,East,Walking,59,5136,154,5k-8k,<250,7.41,64.0,unfit
20,North,Running,87,11952,649,11k-14k,550-700,9.34,68.3,moderately_fit
26,East,Cycling,80,13254,552,11k-14k,550-700,6.23,74.7,moderately_fit
37,East,Running,104,19071,1143,>14k,>700,8.67,58.4,fit
25,North,Cycling,88,9328,439,8k-11k,400-550,6.63,63.0,moderately_fit
48,North,Cycling,92,14400,725,>14k,>700,7.83,71.1,fit
27,North,Sports,90,9818,601,8k-11k,550-700,6.4,82.7,moderately_fit
54,North,Walking,72,5640,182,5k-8k,<250,8.0,81.1,unfit
61,North,Walking,80,3447,118,<5k,<250,6.93,82.6,unfit
27,North,Running,109,15392,774,>14k,>700,7.2,75.6,fit
26,North,Cycling,77,11699,595,11k-14k,550-700,7.17,76.1,moderately_fit
57,South,Gym,93,7524,289,5k-8k,250-400,9.78,61.4,moderately_fit
28,North,Gym,74,7764,411,5k-8k,400-550,6.94,45.0,moderately_fit
37,East,Walking,69,6132,269,5k-8k,250-400,4.85,59.2,unfit
23,North,Gym,80,9500,472,8k-11k,400-550,6.49,64.6,moderately_fit
30,East,Cycling,97,10387,466,8k-11k,400-550,8.22,76.2,moderately_fit
29,North,Gym,79,9159,562,8k-11k,550-700,8.87,72.4,moderately_fit
27,East,Gym,63,5658,267,5k-8k,250-400,7.7,61.4,unfit
55,North,Walking,54,1724,100,<5k,<250,4.94,79.0,unfit
48,South,Cycling,80,10467,625,8k-11k,550-700,6.48,52.8,moderately_fit
28,North,Cycling,50,12148,593,11k-14k,550-700,6.77,75.3,moderately_fit
26,South,Running,93,14903,814,>14k,>700,7.59,65.3,fit
33,North,Walking,68,8255,366,8k-11k,250-400,6.53,93.4,moderately_fit
31,South,Gym,88,8001,353,8k-11k,250-400,7.95,62.5,moderately_fit
26,North,Running,92,13144,673,11k-14k,550-700,6.57,55.0,fit
26,South,Running,107,12765,721,11k-14k,>700,7.23,83.6,fit
25,North,Running,103,8869,434,8k-11k,400-550,6.65,57.0,moderately_fit
31,North,Sports,93,13310,745,11k-14k,>700,7.48,71.7,fit
61,South,Sports,92,11236,617,11k-14k,550-700,6.41,77.3,moderately_fit
29,West,Gym,120,11596,472,11k-14k,400-550,7.39,78.8,moderately_fit
55,South,Walking,69,5405,163,5k-8k,<250,7.18,69.6,unfit
26,East,Gym,91,7672,395,5k-8k,250-400,7.54,68.6,moderately_fit
41,South,Running,99,11288,581,11k-14k,550-700,6.85,80.3,moderately_fit
52,South,Gym,85,6444,251,5k-8k,250-400,8.35,60.5,unfit
41,North,Cycling,88,5151,254,5k-8k,250-400,7.4,80.0,unfit
29,North,Gym,79,10009,389,8k-11k,250-400,8.03,78.5,moderately_fit
64,West,Cycling,94,10429,509,8k-11k,400-550,9.24,83.7,moderately_fit
27,South,Running,110,14749,537,>14k,400-550,8.98,73.7,moderately_fit
32,South,Sports,98,11843,775,11k-14k,>700,6.84,64.9,moderately_fit
23,South,Running,83,12618,714,11k-14k,>700,8.52,63.3,fit
24,South,Cycling,83,13425,690,11k-14k,550-700,9.58,71.8,fit
35,South,Gym,120,8647,351,8k-11k,250-400,9.02,72.0,moderately_fit
38,South,Cycling,80,7353,370,5k-8k,250-400,6.02,67.6,moderately_fit
29,North,Gym,73,12574,643,11k-14k,550-700,6.56,80.2,fit
27,South,Running,87,16040,833,>14k,>700,8.28,78.5,fit
55,South,Walking,91,9336,328,8k-11k,250-400,7.66,86.8,moderately_fit
53,West,Walking,72,8458,301,8k-11k,250-400,7.13,99.5,moderately_fit
63,South,Walking,60,4353,147,<5k,<250,6.77,96.2,unfit
29,East,Gym,75,8553,380,8k-11k,250-400,8.58,67.2,moderately_fit
31,North,Gym,86,11662,538,11k-14k,400-550,6.74,70.5,moderately_fit
36,North,Sports,96,8501,551,8k-11k,550-700,7.68,64.8,moderately_fit
45,West,Gym,84,12339,650,11k-14k,550-700,7.18,88.1,fit
26,East,Cycling,97,12178,626,11k-14k,550-700,6.2,68.0,fit
33,North,Gym,110,11069,573,11k-14k,550-700,7.53,70.5,moderately_fit
51,South,Gym,98,8607,380,8k-11k,250-400,6.24,76.5,moderately_fit
49,North,Gym,79,8066,397,8k-11k,250-400,8.31,75.3,moderately_fit
34,East,Gym,76,8207,472,8k-11k,400-550,6.14,60.6,moderately_fit
75,North,Walking,71,4666,137,<5k,<250,5.55,96.4,unfit
24,East,Running,87,6387,412,5k-8k,400-550,7.11,89.6,moderately_fit
34,South,Walking,63,8272,301,8k-11k,250-400,7.78,67.1,moderately_fit
24,North,Sports,95,17926,922,>14k,>700,6.92,85.3,fit
38,West,Running,113,10512,490,8k-11k,400-550,7.28,69.3,moderately_fit
45,West,Cycling,81,6169,313,5k-8k,250-400,7.77,89.2,unfit
61,North,Sports,104,13195,588,11k-14k,550-700,6.86,90.1,moderately_fit
65,East,Running,99,11432,561,11k-14k,550-700,4.63,70.3,moderately_fit
30,East,Sports,95,14221,687,>14k,550-700,7.14,75.3,fit
53,East,Walking,76,7139,240,5k-8k,<250,6.3,85.4,moderately_fit
58,West,Cycling,110,6481,275,5k-8k,250-400,6.78,94.8,unfit
53,South,Walking,73,7951,228,5k-8k,<250,6.43,95.9,moderately_fit
61,East,Gym,98,5900,314,5k-8k,250-400,6.92,92.9,unfit
32,East,Cycling,45,8815,405,8k-11k,400-550,6.67,72.5,moderately_fit
34,South,Sports,90,13209,611,11k-14k,550-700,7.0,75.8,fit
54,South,Sports,94,10311,480,8k-11k,400-550,7.77,77.5,moderately_fit
25,North,Gym,76,10566,507,8k-11k,400-550,8.29,61.7,moderately_fit
60,East,Walking,69,6514,230,5k-8k,<250,5.93,81.9,unfit
34,East,Cycling,73,12795,760,11k-14k,>700,8.32,69.2,fit
29,South,Cycling,75,14361,828,>14k,>700,7.65,67.9,fit
45,South,Walking,67,6983,251,5k-8k,250-400,5.1,64.0,unfit
28,North,Running,107,18333,941,>14k,>700,7.81,69.5,fit
61,North,Cycling,92,11389,527,11k-14k,400-550,7.52,67.6,moderately_fit
60,South,Cycling,92,10489,492,8k-11k,400-550,7.81,95.3,moderately_fit
31,South,Running,111,11975,542,11k-14k,400-550,6.68,71.5,moderately_fit
29,East,Cycling,90,13569,744,11k-14k,>700,5.89,78.8,fit
42,South,Running,101,13882,756,11k-14k,>700,5.49,59.6,fit
55,West,Sports,97,6437,324,5k-8k,250-400,7.48,76.3,unfit
50,North,Gym,79,4906,199,<5k,<250,7.89,58.5,unfit
52,West,Gym,77,4695,241,<5k,<250,7.57,90.6,unfit
33,North,Sports,86,8717,393,8k-11k,250-400,7.84,72.5,moderately_fit
37,East,Walking,76,4795,149,<5k,<250,8.06,79.9,unfit
58,South,Sports,85,11624,611,11k-14k,550-700,7.66,71.9,moderately_fit
61,South,Running,96,10946,553,8k-11k,550-700,7.12,83.3,moderately_fit
46,North,Sports,92,12780,588,11k-14k,550-700,9.06,93.3,moderately_fit
26,North,Gym,89,6666,326,5k-8k,250-400,6.53,75.5,unfit
39,East,Cycling,88,6465,308,5k-8k,250-400,6.5,71.3,unfit
56,South,Cycling,88,6802,282,5k-8k,250-400,8.46,73.7,unfit
45,West,Cycling,83,11572,520,11k-14k,400-550,5.41,58.5,moderately_fit
24,North,Gym,68,11470,515,11k-14k,400-550,6.04,71.2,moderately_fit
40,West,Gym,96,7965,290,5k-8k,250-400,6.34,75.8,moderately_fit
54,North,Gym,79,8406,272,8k-11k,250-400,5.87,84.3,moderately_fit
23,North,Running,103,12980,675,11k-14k,550-700,7.42,77.4,fit
22,North,Cycling,84,9865,542,8k-11k,400-550,9.14,67.3,moderately_fit
26,West,Gym,93,10460,392,8k-11k,250-400,6.71,79.5,moderately_fit
18,South,Cycling,78,13657,724,11k-14k,>700,5.64,84.6,fit
31,North,Running,100,19071,897,>14k,>700,5.84,89.3,fit
58,North,Walking,75,3869,100,<5k,<250,6.98,73.1,unfit
57,North,Walking,62,3673,160,<5k,<250,6.47,78.5,unfit
57,South,Gym,90,6161,218,5k-8k,<250,7.9,85.8,unfit
26,North,Running,100,16039,856,>14k,>700,7.6,60.0,fit
29,East,Running,107,19923,1041,>14k,>700,6.63,73.1,fit
24,South,Cycling,85,11874,473,11k-14k,400-550,6.16,67.2,moderately_fit
33,West,Gym,75,6844,382,5k-8k,250-400,6.11,80.2,moderately_fit
25,South,Sports,96,9545,382,8k-11k,250-400,7.26,67.3,moderately_fit
28,North,Sports,86,10677,622,8k-11k,550-700,5.57,70.5,moderately_fit
25,West,Walking,77,8085,288,8k-11k,250-400,5.09,64.0,moderately_fit
50,South,Cycling,90,11221,501,11k-14k,400-550,7.05,51.4,moderately_fit
27,South,Running,50,14755,760,>14k,>700,6.87,65.4,fit
52,East,Gym,78,5933,265,5k-8k,250-400,7.46,88.5,unfit
33,North,Running,130,9576,441,8k-11k,400-550,7.07,57.1,moderately_fit
68,South,Cycling,93,9639,483,8k-11k,400-550,6.76,82.5,moderately_fit
51,North,Sports,98,8763,556,8k-11k,550-700,7.6,77.6,moderately_fit
60,North,Gym,99,6030,287,5k-8k,250-400,7.09,71.9,unfit
61,North,Walking,86,3678,118,<5k,<250,6.67,87.5,unfit
33,North,Cycling,91,6914,328,5k-8k,250-400,4.4,70.4,unfit
59,South,Walking,64,9103,331,8k-11k,250-400,6.12,76.2,moderately_fit
32,East,Cycling,90,9233,509,8k-11k,400-550,6.99,87.1,moderately_fit
24,South,Cycling,94,6609,237,5k-8k,<250,7.66,49.4,unfit
27,East,Gym,89,9807,363,8k-11k,250-400,8.46,52.9,moderately_fit
51,South,Walking,75,5943,234,5k-8k,<250,5.51,92.5,unfit
25,East,Running,45,8681,477,8k-11k,400-550,6.54,82.8,moderately_fit
37,West,Gym,87,11585,555,11k-14k,550-700,8.14,84.0,moderately_fit
35,East,Gym,86,10522,359,8k-11k,250-400,6.84,102.1,moderately_fit
24,East,Running,103,16927,533,>14k,400-550,7.58,79.5,moderately_fit
26,North,Sports,94,12976,682,11k-14k,550-700,6.09,74.0,fit
53,South,Cycling,85,5941,262,5k-8k,250-400,6.64,63.4,unfit
18,South,Running,95,14813,637,>14k,550-700,7.06,71.3,fit
53,South,Gym,92,6464,284,5k-8k,250-400,8.8,69.4,unfit
42,South,Gym,75,6774,320,5k-8k,250-400,7.8,73.2,unfit
26,North,Cycling,82,15450,662,>14k,550-700,6.7,45.0,fit
31,North,Cycling,92,8481,414,8k-11k,400-550,7.02,56.0,moderately_fit
29,West,Sports,92,10888,524,8k-11k,400-550,7.21,68.9,moderately_fit
33,East,Sports,84,11794,639,11k-14k,550-700,6.8,75.6,moderately_fit
46,North,Gym,86,9117,521,8k-11k,400-550,6.96,68.2,moderately_fit
28,North,Sports,87,16364,812,>14k,>700,9.11,70.8,fit
27,South,Sports,95,11811,607,11k-14k,550-700,8.26,64.3,moderately_fit
26,South,Running,94,15072,575,>14k,550-700,7.16,61.5,moderately_fit
23,South,Gym,83,6655,276,5k-8k,250-400,8.25,78.2,unfit
23,North,Cycling,99,13038,730,11k-14k,>700,6.11,61.7,fit
26,North,Gym,87,14305,762,>14k,>700,7.89,59.9,fit
46,South,Cycling,97,8691,360,8k-11k,250-400,5.89,98.4,moderately_fit
35,East,Walking,71,8699,293,8k-11k,250-400,4.56,76.7,moderately_fit
33,North,Cycling,87,7273,453,5k-8k,400-550,7.27,75.2,moderately_fit
29,North,Sports,93,11184,600,11k-14k,550-700,7.27,66.3,moderately_fit
56,East,Walking,62,5383,185,5k-8k,<250,7.21,85.1,unfit
49,East,Cycling,84,10400,514,8k-11k,400-550,7.94,76.2,moderately_fit
21,North,Gym,79,9450,287,8k-11k,250-400,8.47,58.9,moderately_fit
18,East,Cycling,76,14823,955,>14k,>700,7.17,86.9,fit
52,West,Running,105,10058,507,8k-11k,400-550,7.29,61.5,moderately_fit
25,West,Gym,91,11360,438,11k-14k,400-550,8.16,76.9,moderately_fit
31,East,Running,98,14184,679,>14k,550-700,6.12,57.1,fit
48,East,Sports,130,7703,337,5k-8k,250-400,7.07,81.5,moderately_fit
55,North,Walking,78,1569,100,<5k,<250,5.78,92.9,unfit
30,East,Cycling,101,11406,546,11k-14k,400-550,6.18,58.1,moderately_fit
33,East,Cycling,101,9088,342,8k-11k,250-400,7.67,87.4,moderately_fit
29,South,Gym,101,9954,457,8k-11k,400-550,6.13,68.3,moderately_fit
25,South,Sports,90,9241,495,8k-11k,400-550,6.67,72.4,moderately_fit
51,East,Gym,91,9133,388,8k-11k,250-400,7.01,53.5,moderately_fit
54,West,Walking,75,9216,334,8k-11k,250-400,6.84,83.1,moderately_fit
29,North,Gym,73,8668,309,8k-11k,250-400,8.25,62.9,moderately_fit
51,North,Gym,88,2809,150,<5k,<250,7.91,73.2,unfit
29,South,Cycling,72,10980,480,8k-11k,400-550,8.01,81.6,moderately_fit
52,North,Gym,84,5952,355,5k-8k,250-400,6.11,72.4,moderately_fit
53,South,Cycling,97,6831,245,5k-8k,<250,9.11,63.0,unfit
32,North,Cycling,72,10356,454,8k-11k,400-550,6.87,86.5,moderately_fit
63,South,Gym,72,9491,360,8k-11k,250-400,6.23,75.5,moderately_fit
28,South,Running,94,12269,604,11k-14k,550-700,6.55,68.6,fit
41,North,Sports,88,12750,646,11k-14k,550-700,5.07,81.3,fit
28,North,Sports,99,11594,587,11k-14k,550-700,7.65,79.7,moderately_fit
55,North,Gym,98,7306,381,5k-8k,250-400,5.21,98.1,moderately_fit
46,South,Cycling,98,12489,559,11k-14k,550-700,5.76,70.3,moderately_fit
39,East,Gym,77,7900,388,5k-8k,250-400,8.76,64.4,moderately_fit
56,South,Walking,62,7505,285,5k-8k,250-400,7.98,80.6,moderately_fit
18,South,Cycling,82,11431,613,11k-14k,550-700,5.99,76.6,moderately_fit
22,South,Running,105,16278,873,>14k,>700,6.29,70.9,fit
55,North,Walking,59,5495,141,5k-8k,<250,7.35,78.2,unfit
51,East,Cycling,92,9787,566,8k-11k,550-700,5.56,79.1,moderately_fit
30,North,Sports,104,12602,649,11k-14k,550-700,6.7,70.4,fit
56,East,Sports,111,11395,574,11k-14k,550-700,6.9,70.8,moderately_fit
56,South,Gym,82,8666,386,8k-11k,250-400,5.56,69.2,moderately_fit
58,South,Gym,89,5222,184,5k-8k,<250,5.9,69.5,unfit
30,East,Gym,45,13750,497,11k-14k,400-550,5.09,76.1,moderately_fit
55,West,Cycling,80,9105,448,8k-11k,400-550,7.63,61.8,moderately_fit
24,West,Sports,100,14768,608,>14k,550-700,6.57,79.9,fit
35,South,Sports,79,5551,344,5k-8k,250-400,5.07,85.5,unfit
33,North,Cycling,77,12808,606,11k-14k,550-700,8.02,78.1,fit
29,West,Walking,60,8943,421,8k-11k,400-550,7.3,55.9,moderately_fit
48,North,Running,99,12701,615,11k-14k,550-700,7.64,65.8,fit
21,East,Running,102,7930,481,5k-8k,400-550,8.68,59.0,moderately_fit
36,East,Sports,79,9634,518,8k-11k,400-550,8.16,59.8,moderately_fit
55,West,Walking,61,3979,157,<5k,<250,6.96,73.9,unfit
49,West,Running,103,15388,675,>14k,550-700,6.54,90.4,fit
47,North,Gym,86,5058,311,5k-8k,250-400,7.96,85.7,unfit
60,South,Running,94,12462,606,11k-14k,550-700,7.07,87.3,fit
28,North,Cycling,110,10475,614,8k-11k,550-700,6.24,48.1,moderately_fit
56,North,Gym,81,10174,408,8k-11k,400-550,7.23,95.2,moderately_fit
47,South,Cycling,92,10252,414,8k-11k,400-550,7.26,91.0,moderately_fit
30,North,Cycling,84,9426,405,8k-11k,400-550,7.46,60.5,moderately_fit
28,East,Gym,81,7397,324,5k-8k,250-400,7.17,53.4,moderately_fit
60,West,Walking,79,4876,189,<5k,<250,5.57,79.7,unfit
18,South,Sports,77,5270,270,5k-8k,250-400,6.26,90.8,unfit
28,North,Gym,73,13759,485,11k-14k,400-550,7.79,76.3,moderately_fit
34,East,Walking,88,9774,308,8k-11k,250-400,6.45,70.0,moderately_fit
55,West,Walking,76,6162,300,5k-8k,250-400,4.92,77.7,unfit
32,East,Gym,64,11415,508,11k-14k,400-550,6.06,80.8,moderately_fit
59,South,Gym,107,7176,314,5k-8k,250-400,5.44,70.4,moderately_fit
29,West,Running,97,15208,771,>14k,>700,7.66,77.5,fit
37,North,Sports,94,13820,544,11k-14k,400-550,7.58,87.8,moderately_fit
23,West,Cycling,87,11003,533,11k-14k,400-550,5.87,60.3,moderately_fit
49,West,Walking,81,7894,299,5k-8k,250-400,5.48,80.1,moderately_fit
21,West,Cycling,80,7268,362,5k-8k,250-400,7.48,82.9,moderately_fit
54,North,Cycling,85,9656,486,8k-11k,400-550,6.6,59.4,moderately_fit
29,West,Cycling,101,11083,538,11k-14k,400-550,5.91,70.1,moderately_fit
27,South,Running,102,13079,714,11k-14k,>700,8.03,63.1,fit
35,South,Gym,77,8349,328,8k-11k,250-400,6.8,63.8,moderately_fit
32,East,Cycling,84,10275,470,8k-11k,400-550,4.94,88.5,moderately_fit
59,North,Cycling,92,11489,578,11k-14k,550-700,6.99,87.6,moderately_fit
33,South,Running,96,13325,730,11k-14k,>700,9.5,85.5,fit
47,East,Gym,95,15119,745,>14k,>700,7.35,86.0,fit
61,East,Running,99,7881,349,5k-8k,250-400,7.38,81.3,moderately_fit
36,East,Walking,71,8149,284,8k-11k,250-400,6.78,79.4,moderately_fit
60,North,Walking,72,7549,200,5k-8k,<250,5.92,90.6,moderately_fit
38,East,Gym,80,7692,414,5k-8k,400-550,6.25,72.9,moderately_fit
22,North,Gym,45,6699,238,5k-8k,<250,5.31,78.5,unfit
50,East,Gym,78,6737,307,5k-8k,250-400,5.83,97.7,unfit
30,North,Gym,81,5897,209,5k-8k,<250,8.24,80.9,unfit
58,East,Walking,78,4219,136,<5k,<250,6.21,75.1,unfit
35,South,Gym,82,9834,396,8k-11k,250-400,7.95,70.8,moderately_fit
32,West,Gym,90,15541,862,>14k,>700,4.81,66.2,fit
25,South,Running,92,19506,992,>14k,>700,7.15,57.2,fit
22,East,Gym,75,8213,310,8k-11k,250-400,9.05,45.0,moderately_fit
25,South,Gym,73,11897,501,11k-14k,400-550,6.88,60.9,moderately_fit
19,East,Running,104,13809,762,11k-14k,>700,7.72,66.2,fit
27,South,Gym,68,7224,302,5k-8k,250-400,6.11,75.0,moderately_fit
57,North,Walking,76,5754,206,5k-8k,<250,6.08,83.0,unfit
48,South,Cycling,84,4129,186,<5k,<250,6.9,74.5,unfit
69,East,Gym,89,2398,100,<5k,<250,6.59,76.3,unfit
46,North,Sports,110,12856,518,11k-14k,400-550,6.45,90.3,moderately_fit
34,North,Running,98,17491,908,>14k,>700,7.6,64.1,fit
25,South,Sports,92,6168,247,5k-8k,<250,5.15,96.3,unfit
26,East,Gym,65,13110,514,11k-14k,400-550,8.89,61.9,moderately_fit
28,North,Running,99,17475,1207,>14k,>700,6.91,68.9,fit
35,West,Running,103,12254,670,11k-14k,550-700,6.15,68.2,fit
26,West,Sports,45,13444,682,11k-14k,550-700,6.68,63.4,fit
23,North,Running,105,19951,1222,>14k,>700,6.22,57.7,fit
34,North,Sports,92,14678,757,>14k,>700,6.23,66.0,fit
29,East,Running,95,15382,862,>14k,>700,7.06,90.7,fit
35,West,Cycling,73,9055,480,8k-11k,400-550,8.07,88.0,moderately_fit
62,East,Cycling,50,7454,391,5k-8k,250-400,8.42,80.1,moderately_fit
31,South,Sports,87,13621,707,11k-14k,>700,7.67,68.6,fit
30,North,Cycling,92,12394,672,11k-14k,550-700,6.31,96.7,fit
28,South,Gym,91,12238,517,11k-14k,400-550,6.91,55.3,moderately_fit
26,South,Gym,110,5854,244,5k-8k,<250,5.96,67.7,unfit
33,North,Gym,82,10112,331,8k-11k,250-400,7.11,47.7,moderately_fit
27,South,Gym,95,11198,529,11k-14k,400-550,7.48,88.9,moderately_fit
64,North,Walking,77,5062,214,5k-8k,<250,7.56,87.9,unfit
57,South,Gym,82,13355,562,11k-14k,550-700,7.22,81.5,moderately_fit
61,North,Cycling,104,6398,297,5k-8k,250-400,6.82,73.0,unfit
50,North,Walking,62,6180,206,5k-8k,<250,6.76,93.2,unfit
26,West,Running,95,16392,975,>14k,>700,6.85,76.7,fit
51,North,Walking,76,7966,254,5k-8k,250-400,6.19,76.2,moderately_fit
50,South,Cycling,76,8826,449,8k-11k,400-550,7.99,96.1,moderately_fit
30,North,Gym,80,8582,401,8k-11k,400-550,7.44,83.7,moderately_fit
27,North,Running,102,16196,606,>14k,550-700,7.11,60.7,fit
31,South,Sports,94,13034,567,11k-14k,550-700,6.99,80.1,moderately_fit
21,North,Gym,77,10030,356,8k-11k,250-400,6.4,57.8,moderately_fit
65,North,Cycling,80,3590,154,<5k,<250,8.52,93.5,unfit
19,West,Cycling,97,12289,551,11k-14k,550-700,8.28,87.5,moderately_fit
25,North,Gym,85,13571,510,11k-14k,400-550,8.15,53.9,moderately_fit
53,North,Sports,96,11440,611,11k-14k,550-700,7.05,79.5,moderately_fit
24,East,Cycling,81,9580,399,8k-11k,250-400,7.53,66.4,moderately_fit
57,North,Walking,80,3002,100,<5k,<250,6.86,65.4,unfit
43,East,Gym,72,10730,481,8k-11k,400-550,7.47,90.5,moderately_fit
29,North,Running,116,12520,765,11k-14k,>700,6.25,62.5,fit
29,North,Cycling,81,14458,636,>14k,550-700,9.1,63.1,fit
30,South,Gym,88,12480,509,11k-14k,400-550,4.61,65.4,moderately_fit
30,West,Cycling,96,10668,397,8k-11k,250-400,6.03,57.0,moderately_fit
37,North,Gym,83,9545,389,8k-11k,250-400,5.38,79.1,moderately_fit
26,South,Cycling,88,12484,511,11k-14k,400-550,7.03,63.4,moderately_fit
35,North,Cycling,86,7639,403,5k-8k,400-550,7.43,74.3,moderately_fit
53,North,Gym,92,11932,491,11k-14k,400-550,7.01,73.1,moderately_fit
23,West,Running,96,15997,875,>14k,>700,5.49,82.0,fit
55,North,Cycling,94,9422,340,8k-11k,250-400,7.87,85.8,moderately_fit
49,West,Gym,84,10399,513,8k-11k,400-550,6.68,77.1,moderately_fit
43,North,Cycling,100,10762,698,8k-11k,550-700,7.26,69.1,moderately_fit
29,West,Gym,92,6547,259,5k-8k,250-400,9.3,63.0,unfit
52,South,Cycling,84,7266,379,5k-8k,250-400,6.94,64.6,moderately_fit
50,West,Cycling,97,4075,212,<5k,<250,7.26,71.7,unfit
25,North,Running,104,14498,935,>14k,>700,6.48,53.8,fit
49,East,Cycling,88,10901,520,8k-11k,400-550,8.41,72.5,moderately_fit
44,East,Running,111,11837,663,11k-14k,550-700,8.44,81.6,moderately_fit
52,South,Sports,100,7164,328,5k-8k,250-400,7.57,72.4,moderately_fit
53,East,Walking,70,5143,165,5k-8k,<250,6.21,60.6,unfit
27,East,Gym,72,8477,301,8k-11k,250-400,6.9,69.1,moderately_fit
30,West,Cycling,79,13208,417,11k-14k,400-550,9.25,77.9,moderately_fit
48,South,Cycling,83,13179,730,11k-14k,>700,7.84,82.9,fit
59,South,Gym,82,1000,100,<5k,<250,5.83,63.3,unfit
25,West,Sports,70,12196,802,11k-14k,>700,7.54,79.6,fit
23,North,Running,103,12687,777,11k-14k,>700,7.28,78.0,fit
51,South,Sports,94,9488,433,8k-11k,400-550,7.33,72.4,moderately_fit
57,West,Gym,72,9505,484,8k-11k,400-550,6.85,84.1,moderately_fit
55,South,Walking,71,5027,160,5k-8k,<250,6.77,64.4,unfit
32,North,Running,117,15653,849,>14k,>700,7.28,46.3,fit
27,South,Sports,87,17198,769,>14k,>700,6.89,64.0,fit
60,West,Walking,62,4859,169,<5k,<250,6.82,77.2,unfit
43,West,Sports,99,10290,427,8k-11k,400-550,7.3,75.5,moderately_fit
59,West,Cycling,72,8121,371,8k-11k,250-400,8.77,49.1,moderately_fit
28,East,Running,105,21160,1201,>14k,>700,7.13,71.0,fit
45,South,Running,106,10799,495,8k-11k,400-550,6.03,70.9,moderately_fit
53,North,Gym,86,11341,508,11k-14k,400-550,7.74,92.5,moderately_fit
56,North,Running,97,11092,549,11k-14k,400-550,8.24,80.2,moderately_fit
62,North,Walking,74,5993,208,5k-8k,<250,4.77,82.1,unfit
18,North,Sports,84,15070,866,>14k,>700,7.37,74.8,fit
38,West,Running,95,11881,779,11k-14k,>700,7.05,91.2,moderately_fit
51,East,Sports,111,12596,609,11k-14k,550-700,7.73,81.4,fit
55,South,Gym,130,6841,262,5k-8k,250-400,7.49,90.6,unfit
30,West,Running,108,10594,541,8k-11k,400-550,7.76,55.0,moderately_fit
26,West,Running,104,17250,836,>14k,>700,8.15,89.3,fit
27,East,Cycling,81,12805,607,11k-14k,550-700,7.75,65.6,fit
56,South,Walking,64,4801,157,<5k,<250,8.02,70.2,unfit
20,North,Sports,90,15708,817,>14k,>700,7.11,73.5,fit
27,South,Running,102,11146,510,11k-14k,400-550,7.24,69.6,moderately_fit
61,North,Sports,80,10330,485,8k-11k,400-550,6.73,76.1,moderately_fit
30,South,Sports,91,7728,400,5k-8k,250-400,6.7,78.1,moderately_fit
61,West,Cycling,100,7586,348,5k-8k,250-400,7.13,71.6,moderately_fit
53,North,Gym,85,5561,254,5k-8k,250-400,7.99,80.8,unfit
56,North,Gym,70,4318,216,<5k,<250,6.88,59.8,unfit
59,South,Cycling,83,8781,479,8k-11k,400-550,7.41,83.7,moderately_fit
31,South,Running,86,14696,772,>14k,>700,8.67,76.3,fit
64,North,Cycling,90,9856,557,8k-11k,550-700,8.18,74.3,moderately_fit
54,North,Cycling,93,9124,502,8k-11k,400-550,6.32,66.2,moderately_fit
23,West,Running,109,15792,658,>14k,550-700,5.89,62.5,fit
48,North,Running,103,8630,416,8k-11k,400-550,5.16,69.3,moderately_fit
